route_id,source,destination,variant,traffic_distance_m,traffic_duration_min,temp,tempmin,tempmax,humidity,windspeed,conditions,is_weekend,traffic_pressure,traffic_efficiency,day_of_week,hour_of_day
31,Gachibowli,Madhapur,A,11802.57,17.901,29.31,26.64,31.68,49.95,11.08,3,0,4.247,0.65934,4,22
42,Gachibowli,Kondapur,C,17233.35,53.502,30.4,24.66,32.23,78.06,9.24,0,0,11.176,0.322106,2,3
51,Secunderabad,Kukatpally,C,19162.7,74.566,25.45,23.2,28.98,61.19,10.16,3,1,24.515,0.25699,6,12
58,Secunderabad,Begumpet,A,17331.21,20.876,34.56,30.74,36.82,55.86,7.41,1,0,2.409,0.830184,4,14
125,Airport,Madhapur,B,35016.88,66.208,28.45,24.66,32.17,57.37,0.46,0,0,4.538,0.528893,2,23
118,Airport,Gachibowli,A,30501.03,39.048,26.58,23.34,27.63,84.85,14.4,1,0,2.56,0.781107,2,2
90,KPHB,Begumpet,C,30853.74,81.359,34.38,29.41,36.09,53.78,7.72,0,0,9.493,0.379231,5,14
73,Madhapur,Jubilee Hills,A,20340.15,26.232,25.32,19.64,26.5,65.39,3.92,0,1,2.063,0.775385,6,1
68,Uppal,Secunderabad,B,19936.28,34.415,26.93,21.53,28.72,74.26,9.14,0,0,4.143,0.579296,1,0
75,Madhapur,Jubilee Hills,C,26611.07,50.532,27.88,24.45,30.13,66.87,8.73,0,1,6.836,0.526618,6,14
74,Madhapur,Jubilee Hills,B,20910.66,42.722,24.93,18.96,28.52,59.53,0.4,0,1,4.903,0.489455,6,23
33,Gachibowli,Madhapur,C,13817.83,38.661,28.76,22.78,29.97,54.71,5.32,3,0,17.627,0.357409,4,15
117,Kondapur,Jubilee Hills,C,34283.21,72.381,26.25,21.22,29.61,65.63,9.43,1,0,9.501,0.473648,5,3
66,Uppal,Gachibowli,C,21522.75,56.496,26.88,22.5,30.11,69.42,6.89,0,0,9.45,0.380963,2,1
55,Secunderabad,Gachibowli,A,16619.46,22.549,23.43,19.57,25.64,78.6,3.45,0,0,2.171,0.737053,3,21
123,Airport,Banjara Hills,C,34611.71,102.641,28.41,25.4,32.22,51.87,1.46,0,0,10.676,0.337212,4,22
64,Uppal,Gachibowli,A,19007.59,35.364,24.64,20.1,25.8,72.7,5.99,0,0,3.572,0.53749,4,9
77,Madhapur,Airport,B,23819.18,54.092,35.8,30.06,37.05,89.67,6.57,1,0,6.813,0.440346,4,0
28,Hyderabad,Hitech City,A,10553.58,13.95,36.91,31.43,39.95,93.79,9.05,2,0,3.807,0.756513,5,19
47,Secunderabad,Hitech City,B,16273.98,35.959,36.88,34.1,40.6,39.68,5.0,0,0,6.364,0.45257,5,8
97,LB Nagar,Hitech City,A,25886.77,43.019,31.48,25.84,32.57,57.78,9.57,3,1,4.653,0.601749,6,3
132,Jubilee Hills,Kondapur,C,35078.61,96.905,30.51,24.78,33.05,85.69,9.11,1,1,14.918,0.361989,7,10
123,Airport,Banjara Hills,C,34858.21,125.898,30.09,26.98,33.87,76.3,13.07,2,0,19.503,0.276876,2,15
104,Dilsukhnagar,Airport,B,30482.0,50.568,22.53,17.2,26.32,46.62,0.1,0,0,3.981,0.60279,2,12
96,LB Nagar,Gachibowli,C,32071.21,62.697,32.11,27.65,34.24,45.53,7.09,0,0,7.038,0.511529,4,23
21,Hyderabad,Uppal,C,10392.09,29.206,24.76,22.74,26.59,86.07,6.76,1,0,12.647,0.355822,3,21
127,Jubilee Hills,Banjara Hills,A,32440.01,45.595,30.26,25.51,31.41,56.68,7.34,1,0,3.373,0.711479,2,10
64,Uppal,Gachibowli,A,19366.01,36.904,25.23,20.1,29.03,65.28,8.45,0,1,3.659,0.524769,7,17
31,Gachibowli,Madhapur,A,11751.72,14.805,27.19,24.64,31.12,54.12,5.9,1,1,2.52,0.793774,7,0
88,KPHB,Begumpet,A,24467.8,33.417,35.0,30.55,37.07,53.25,8.37,0,1,2.185,0.732186,7,21
66,Uppal,Gachibowli,C,21999.84,67.299,33.6,31.32,36.41,76.98,5.28,1,0,13.766,0.326897,2,5
54,Secunderabad,Banjara Hills,C,20113.62,63.099,32.48,27.98,34.8,80.28,7.65,1,0,14.117,0.318764,2,4
116,Kondapur,Jubilee Hills,B,33004.83,77.385,32.11,27.46,35.21,83.42,5.42,0,0,5.627,0.4265,1,15
73,Madhapur,Jubilee Hills,A,20764.83,27.614,25.67,22.83,28.79,83.59,3.52,0,0,2.128,0.751981,2,13
43,Gachibowli,Financial District,A,14799.2,23.353,26.64,23.36,29.91,61.06,4.07,0,0,3.03,0.633711,1,20
14,Hyderabad,Begumpet,B,8015.11,15.911,25.42,21.52,27.76,82.37,1.63,1,0,7.147,0.503741,5,10
92,KPHB,Airport,B,27237.92,45.635,30.17,26.1,32.34,78.29,3.84,1,0,5.026,0.596869,4,2
13,Hyderabad,Begumpet,A,8068.45,11.412,24.73,19.27,28.45,53.36,6.86,2,0,3.395,0.707004,5,16
75,Madhapur,Jubilee Hills,C,26466.34,60.877,23.69,21.25,27.16,88.03,0.8,1,0,10.351,0.434749,1,22
66,Uppal,Gachibowli,C,21327.21,73.609,24.25,20.57,27.37,74.88,12.67,0,1,14.91,0.289738,7,18
71,Uppal,Financial District,B,21536.21,36.636,27.84,21.99,31.1,59.8,0.15,0,0,4.083,0.587843,5,3
103,Dilsukhnagar,Airport,A,26219.92,38.262,26.94,24.82,30.2,75.09,3.55,0,0,2.335,0.685281,3,13
87,KPHB,Hitech City,C,28024.15,60.989,34.57,30.01,37.58,67.0,2.41,1,1,9.793,0.459495,6,13
116,Kondapur,Jubilee Hills,B,32876.37,71.829,22.93,20.9,25.55,54.17,10.11,0,1,5.244,0.4577,6,6
15,Hyderabad,Begumpet,C,9617.68,40.198,23.02,18.17,24.92,57.9,3.33,2,0,27.084,0.239255,5,19
29,Hyderabad,Hitech City,B,11810.23,24.509,31.15,27.13,33.61,53.96,14.1,0,0,5.977,0.481876,3,8
47,Secunderabad,Hitech City,B,16038.1,29.528,36.41,31.14,38.3,54.99,10.45,1,1,5.523,0.543151,7,2
126,Airport,Madhapur,C,35435.64,76.684,26.82,21.98,28.78,57.44,7.26,1,0,9.738,0.4621,4,6
127,Jubilee Hills,Banjara Hills,A,32619.33,41.009,24.35,20.19,26.62,76.29,5.26,1,0,2.514,0.795428,4,2
1,Hyderabad,Gachibowli,A,5125.61,8.935,29.54,26.04,31.4,53.3,3.62,2,0,5.021,0.573644,1,19
111,Dilsukhnagar,Gachibowli,C,32299.35,132.379,31.55,28.98,33.62,75.79,5.76,2,1,26.558,0.243992,7,9
71,Uppal,Financial District,B,21365.81,43.694,27.5,23.3,29.54,55.54,9.36,0,1,5.89,0.488986,7,20
98,LB Nagar,Hitech City,B,28127.91,43.822,38.19,33.34,40.04,77.5,8.0,1,1,4.674,0.641862,6,22
99,LB Nagar,Hitech City,C,30445.08,85.527,27.79,22.06,31.09,53.32,5.33,0,0,12.136,0.355972,3,7
54,Secunderabad,Banjara Hills,C,20245.67,77.552,26.21,23.41,27.29,49.36,7.55,3,0,24.133,0.261058,2,11
29,Hyderabad,Hitech City,B,11803.09,19.51,26.64,24.6,28.51,42.04,5.39,0,0,3.967,0.604977,2,15
8,Hyderabad,Banjara Hills,B,6927.65,17.244,24.18,19.38,26.4,67.62,2.85,2,0,8.961,0.401749,1,23
14,Hyderabad,Begumpet,B,7998.9,13.042,24.39,21.8,28.37,86.03,9.28,2,0,5.87,0.6133,2,11
101,LB Nagar,Banjara Hills,B,27585.63,47.662,31.44,27.12,33.07,59.2,2.39,1,0,5.183,0.57878,3,5
73,Madhapur,Jubilee Hills,A,20330.29,33.578,28.26,25.3,30.5,52.33,8.69,3,1,5.55,0.605457,7,10
40,Gachibowli,Kondapur,A,13699.19,16.53,28.46,25.14,30.5,78.78,9.06,1,0,2.413,0.828758,1,14
67,Uppal,Secunderabad,A,19340.21,32.141,28.43,25.46,31.75,62.79,4.93,0,0,2.659,0.601734,4,5
98,LB Nagar,Hitech City,B,28016.58,50.324,24.08,20.1,27.87,86.54,8.74,1,0,5.389,0.556727,4,21
125,Airport,Madhapur,B,35249.04,76.372,27.59,21.92,28.63,58.24,6.08,0,1,6.24,0.461547,7,10
95,LB Nagar,Gachibowli,B,26105.06,54.553,35.94,31.19,39.4,83.8,6.56,1,0,7.523,0.478527,2,7
104,Dilsukhnagar,Airport,B,30380.41,60.909,25.57,22.19,26.78,71.81,4.19,0,0,5.774,0.498788,4,18
53,Secunderabad,Banjara Hills,B,17253.36,28.465,32.56,29.45,35.61,73.41,7.03,0,0,3.96,0.60612,4,14
111,Dilsukhnagar,Gachibowli,C,31903.98,132.669,32.05,27.38,34.81,90.63,0.33,1,1,22.455,0.240478,7,20
65,Uppal,Gachibowli,B,20185.43,53.167,30.95,28.37,32.97,57.23,10.24,0,0,7.586,0.379659,3,10
84,Madhapur,KPHB,C,26820.98,53.318,32.51,27.18,35.03,65.44,3.76,0,1,7.157,0.503036,6,13
76,Madhapur,Airport,A,21706.12,25.627,27.66,22.73,30.32,76.86,2.29,0,0,1.889,0.846989,2,14
62,Uppal,Hitech City,B,19170.21,35.377,33.62,28.63,37.5,51.86,7.16,0,1,4.429,0.54189,6,5
54,Secunderabad,Banjara Hills,C,20338.39,79.863,29.93,25.52,32.8,55.21,2.62,0,0,16.963,0.254667,4,20
20,Hyderabad,Uppal,B,9093.66,22.939,20.83,17.16,24.32,72.08,3.34,0,0,7.265,0.396428,3,17
42,Gachibowli,Kondapur,C,17234.97,77.369,24.18,20.86,25.48,92.52,4.73,3,0,28.281,0.222764,5,13
78,Madhapur,Airport,C,25211.9,102.173,34.75,31.41,36.83,73.39,6.42,3,0,30.638,0.246756,5,9
14,Hyderabad,Begumpet,B,8198.38,12.552,26.93,23.9,30.83,87.22,3.87,1,0,4.593,0.653134,5,3
56,Secunderabad,Gachibowli,B,17501.32,48.908,30.69,26.09,32.13,53.66,8.19,1,1,10.06,0.357844,7,10
57,Secunderabad,Gachibowli,C,20261.51,89.636,24.1,19.46,26.86,92.58,10.74,0,0,19.112,0.226041,2,10
37,Gachibowli,Airport,A,12197.1,13.553,26.05,23.54,29.42,61.48,0.53,0,0,1.778,0.899961,4,15
59,Secunderabad,Begumpet,B,17850.65,32.731,31.0,26.6,32.75,80.56,0.7,0,0,4.401,0.54537,4,6
101,LB Nagar,Banjara Hills,B,27337.05,63.009,30.7,24.74,34.18,66.58,11.51,2,0,9.957,0.433858,2,8
21,Hyderabad,Uppal,C,10488.38,33.359,28.8,26.26,30.86,50.97,7.17,0,0,13.74,0.31441,3,17
12,Hyderabad,Secunderabad,C,8501.13,15.042,37.23,31.49,38.26,46.22,10.29,0,0,6.37,0.565168,2,3
93,KPHB,Airport,C,28851.41,87.43,30.91,26.96,34.4,65.83,0.99,0,0,10.909,0.329996,3,6
125,Airport,Madhapur,B,35086.33,82.764,28.84,23.93,30.7,52.99,14.0,0,0,6.794,0.423933,2,17
91,KPHB,Airport,A,23871.89,29.185,26.55,21.88,30.49,73.52,6.02,0,0,1.956,0.817938,2,3
44,Gachibowli,Financial District,B,14696.01,43.707,34.29,31.95,37.87,64.25,1.14,0,0,8.565,0.336239,4,20
94,LB Nagar,Gachibowli,A,25060.27,28.431,22.92,20.08,25.13,52.84,9.88,2,1,2.723,0.881441,7,5
36,Gachibowli,Banjara Hills,C,15339.26,34.691,31.31,26.96,34.34,67.07,3.68,0,1,8.142,0.442171,7,13
26,Hyderabad,Dilsukhnagar,B,11006.91,20.752,28.06,24.85,29.91,51.17,0.68,3,0,7.919,0.530398,1,1
26,Hyderabad,Dilsukhnagar,B,11008.82,17.03,25.59,22.54,27.35,52.77,1.84,0,0,3.713,0.646425,2,11
35,Gachibowli,Banjara Hills,B,12079.17,24.048,24.59,22.18,27.86,65.81,10.69,2,0,8.601,0.502286,2,7
72,Uppal,Financial District,C,25234.92,68.89,29.37,27.23,32.69,56.88,10.75,2,0,14.742,0.366307,2,21
82,Madhapur,KPHB,A,23052.86,30.627,31.0,28.99,33.65,75.33,3.48,0,1,2.551,0.752698,6,9
95,LB Nagar,Gachibowli,B,26159.45,35.372,33.38,30.08,34.53,82.87,0.34,0,1,3.245,0.739551,7,23
126,Airport,Madhapur,C,35613.33,62.606,30.74,28.66,32.53,47.08,9.94,0,1,6.329,0.568851,7,14
17,Hyderabad,Kukatpally,B,8369.2,14.671,25.28,20.12,27.1,65.45,7.13,0,0,4.207,0.570445,3,4
41,Gachibowli,Kondapur,B,13805.43,31.087,32.78,28.86,33.95,87.86,11.42,2,1,8.106,0.444096,6,11
50,Secunderabad,Kukatpally,B,16932.93,39.233,26.9,21.47,29.07,46.44,6.1,1,1,6.951,0.431602,7,2
62,Uppal,Hitech City,B,19147.36,42.016,25.71,21.14,28.38,56.09,4.28,2,0,7.9,0.45572,5,12
16,Hyderabad,Kukatpally,A,8140.0,9.935,29.28,24.61,30.95,46.41,7.81,0,1,1.953,0.819292,7,14
104,Dilsukhnagar,Airport,B,30328.05,63.724,24.61,19.24,27.53,82.34,3.32,1,1,7.564,0.475931,7,10
45,Gachibowli,Financial District,C,16766.75,55.424,33.28,30.68,35.44,87.24,8.28,0,0,11.9,0.302517,2,16
60,Secunderabad,Begumpet,C,21709.14,55.808,28.08,22.65,30.3,45.58,3.5,1,0,11.568,0.388994,4,6
56,Secunderabad,Gachibowli,B,17150.59,46.562,35.79,32.99,37.98,63.32,7.59,2,0,9.774,0.368336,3,6
63,Uppal,Hitech City,C,23260.12,64.252,25.3,21.55,27.36,87.8,5.13,0,0,9.944,0.362015,1,5
131,Jubilee Hills,Kondapur,B,34822.24,62.664,26.14,23.15,28.23,39.86,7.43,1,1,5.399,0.5557,6,1
54,Secunderabad,Banjara Hills,C,20421.78,53.176,32.82,30.25,36.05,52.26,6.34,0,0,9.374,0.384038,1,12
61,Uppal,Hitech City,A,17572.72,21.684,35.12,32.64,37.36,77.59,6.59,0,1,1.974,0.810396,7,5
49,Secunderabad,Kukatpally,A,15408.99,20.683,28.22,23.09,29.24,56.11,7.57,2,0,3.221,0.745025,2,23
129,Jubilee Hills,Banjara Hills,C,34594.84,71.64,33.34,28.04,34.51,62.02,10.46,0,1,7.455,0.4829,6,21
10,Hyderabad,Secunderabad,A,6965.18,6.919,26.98,24.46,28.86,51.64,7.74,0,0,1.589,1.006722,5,14
7,Hyderabad,Banjara Hills,A,5793.89,8.169,28.69,26.66,32.66,58.56,10.76,0,0,2.256,0.709236,4,5
125,Airport,Madhapur,B,34896.44,75.676,24.74,21.06,25.81,45.52,0.87,0,0,6.246,0.461128,4,8
57,Secunderabad,Gachibowli,C,20259.56,59.677,31.81,29.04,35.77,45.77,6.89,2,1,15.906,0.339485,7,16
76,Madhapur,Airport,A,21265.89,25.995,26.76,23.42,29.01,48.59,4.66,0,1,1.956,0.818081,6,15
12,Hyderabad,Secunderabad,C,8367.9,20.837,35.24,30.6,39.01,62.08,5.46,1,1,13.446,0.401597,6,19
44,Gachibowli,Financial District,B,14580.06,30.963,33.24,28.01,35.2,71.83,2.23,0,0,5.097,0.470893,3,6
127,Jubilee Hills,Banjara Hills,A,32298.88,50.122,30.19,26.02,34.03,45.91,5.31,1,0,3.724,0.644412,5,18
128,Jubilee Hills,Banjara Hills,B,34826.92,72.071,23.25,20.05,26.62,86.26,1.64,0,0,4.967,0.483233,1,11
125,Airport,Madhapur,B,35167.51,63.401,34.02,28.35,35.12,48.37,5.02,0,0,4.327,0.554681,1,21
30,Hyderabad,Hitech City,C,12490.65,53.359,35.71,33.44,38.79,70.5,10.7,1,0,23.068,0.234086,4,20
47,Secunderabad,Hitech City,B,16092.4,35.751,36.54,34.42,38.26,67.85,5.67,0,0,6.398,0.45012,3,10
57,Secunderabad,Gachibowli,C,20206.42,84.493,37.83,32.37,40.42,46.45,11.17,0,1,18.064,0.23915,7,17
33,Gachibowli,Madhapur,C,13873.97,29.072,30.18,26.95,34.12,53.51,2.32,1,0,9.429,0.477234,5,21
50,Secunderabad,Kukatpally,B,16757.14,47.391,34.88,32.87,35.97,76.82,9.27,2,0,10.181,0.353594,3,11
131,Jubilee Hills,Kondapur,B,34948.12,66.002,25.47,20.21,26.62,73.6,3.18,0,0,4.533,0.529499,5,0
95,LB Nagar,Gachibowli,B,26009.76,41.554,33.72,29.11,35.11,67.29,6.92,0,0,3.834,0.625933,3,21
116,Kondapur,Jubilee Hills,B,32851.27,72.18,31.36,28.63,33.35,70.57,6.63,0,1,5.273,0.45513,6,1
45,Gachibowli,Financial District,C,16602.72,63.795,31.16,29.09,32.83,63.17,4.84,2,0,20.749,0.260249,1,3
131,Jubilee Hills,Kondapur,B,34693.67,72.382,35.09,31.87,37.19,71.19,5.97,0,0,5.007,0.479316,5,13
69,Uppal,Secunderabad,C,25305.72,89.051,28.18,25.56,32.05,71.09,4.56,0,0,15.202,0.284172,3,20
25,Hyderabad,Dilsukhnagar,A,9683.53,12.074,32.49,28.86,35.76,78.02,11.33,0,0,2.394,0.80199,3,8
129,Jubilee Hills,Banjara Hills,C,34955.23,113.18,27.1,22.29,29.59,40.04,6.3,0,0,13.988,0.308846,5,20
21,Hyderabad,Uppal,C,10258.55,25.237,29.75,26.29,33.24,42.21,6.61,0,1,8.856,0.406493,7,1
121,Airport,Banjara Hills,A,30288.59,43.058,36.42,32.4,37.7,89.44,1.6,0,0,2.275,0.703433,5,11
93,KPHB,Airport,C,28637.12,80.077,25.69,19.87,27.73,61.44,3.54,0,0,10.067,0.357621,3,2
121,Airport,Banjara Hills,A,30273.33,46.303,32.74,30.12,35.89,45.18,6.97,2,0,4.405,0.653807,5,10
32,Gachibowli,Madhapur,B,11734.88,38.732,33.96,28.19,36.15,88.46,6.25,3,1,16.635,0.30298,7,10
26,Hyderabad,Dilsukhnagar,B,10998.11,20.959,24.17,22.11,25.93,44.48,1.29,0,1,5.488,0.524755,6,7
117,Kondapur,Jubilee Hills,C,34319.47,91.708,25.53,22.2,26.78,52.12,10.67,0,0,11.544,0.374225,3,8
46,Secunderabad,Hitech City,A,14733.5,20.031,23.01,20.13,24.5,88.99,10.15,0,0,2.175,0.735545,5,0
44,Gachibowli,Financial District,B,14823.57,49.017,25.3,20.4,28.0,64.64,7.73,3,0,16.666,0.302415,3,9
85,KPHB,Hitech City,A,23094.94,36.374,33.71,28.66,36.83,65.69,4.6,1,0,3.78,0.634932,2,7
91,KPHB,Airport,A,24240.61,34.244,35.18,32.6,36.76,60.25,5.14,0,0,2.712,0.707872,5,10
123,Airport,Banjara Hills,C,34968.93,136.723,31.81,28.86,33.86,75.53,13.06,0,0,16.89,0.255765,2,10
40,Gachibowli,Kondapur,A,13921.94,16.453,35.21,29.7,39.09,57.27,6.92,0,0,2.269,0.846187,1,19
128,Jubilee Hills,Banjara Hills,B,34795.78,90.039,23.24,18.77,25.57,62.03,6.67,3,0,10.868,0.386453,4,23
95,LB Nagar,Gachibowli,B,26288.8,49.392,24.37,21.8,26.69,55.3,13.42,0,0,5.411,0.532246,5,10
116,Kondapur,Jubilee Hills,B,32913.72,71.703,27.48,23.72,29.2,48.66,8.11,0,1,5.228,0.459029,7,15
45,Gachibowli,Financial District,C,16790.62,80.323,24.22,19.17,27.96,61.76,5.68,3,0,30.138,0.209038,1,0
59,Secunderabad,Begumpet,B,17842.42,38.939,24.2,18.95,26.83,59.21,2.99,0,0,6.285,0.458215,4,10
87,KPHB,Hitech City,C,27594.86,65.074,24.36,21.28,26.21,88.77,4.85,1,1,10.612,0.424055,7,4
4,Hyderabad,Madhapur,A,5840.34,7.442,35.13,31.51,36.79,70.95,15.09,1,0,2.549,0.784732,5,5
61,Uppal,Hitech City,A,17582.17,21.836,26.6,23.67,29.69,68.37,5.17,2,1,2.981,0.805187,7,14
76,Madhapur,Airport,A,21590.78,29.85,25.71,23.58,27.06,71.48,3.18,1,1,2.765,0.723307,7,16
14,Hyderabad,Begumpet,B,8015.17,12.581,33.76,30.28,36.9,88.42,6.8,1,0,4.709,0.637087,5,12
42,Gachibowli,Kondapur,C,17210.02,80.728,28.35,23.11,31.3,54.58,7.4,0,0,20.264,0.213186,5,19
125,Airport,Madhapur,B,35222.74,63.154,21.31,17.99,23.93,70.07,2.04,0,0,4.303,0.557725,4,2
104,Dilsukhnagar,Airport,B,30678.75,49.39,28.46,25.1,32.33,56.88,8.38,0,0,3.864,0.621156,1,14
130,Jubilee Hills,Kondapur,A,33492.52,40.41,35.69,30.68,39.12,56.49,6.31,2,0,2.896,0.828812,1,15
41,Gachibowli,Kondapur,B,13863.07,31.376,28.4,23.78,30.44,77.56,9.79,0,0,5.432,0.44184,5,3
8,Hyderabad,Banjara Hills,B,6607.39,18.566,31.19,28.1,33.55,84.08,10.75,0,1,8.093,0.355881,6,17
5,Hyderabad,Madhapur,B,5929.91,9.922,35.34,30.25,39.14,74.61,7.5,2,0,6.024,0.597624,4,1
67,Uppal,Secunderabad,A,19210.62,31.771,34.82,30.81,36.39,57.41,1.69,2,0,3.969,0.604659,1,4
30,Hyderabad,Hitech City,C,12297.36,49.238,23.77,19.49,24.87,76.44,8.35,3,0,25.225,0.249755,5,23
97,LB Nagar,Hitech City,A,25943.69,39.155,24.07,19.04,25.49,87.25,4.46,2,0,3.622,0.662591,4,2
10,Hyderabad,Secunderabad,A,6525.18,6.571,24.87,20.33,27.93,63.23,7.37,3,1,2.819,0.993097,6,11
132,Jubilee Hills,Kondapur,C,34938.54,67.5,27.2,24.94,31.06,83.14,10.37,0,0,6.955,0.517606,4,2
90,KPHB,Begumpet,C,30860.67,107.912,30.77,26.82,32.18,56.96,2.1,0,0,15.106,0.285981,5,10
37,Gachibowli,Airport,A,12258.88,14.043,26.52,21.03,29.16,58.22,5.99,1,1,2.291,0.872973,6,22
121,Airport,Banjara Hills,A,30487.51,43.343,24.06,19.17,27.64,86.35,1.41,0,0,2.275,0.703399,3,2
33,Gachibowli,Madhapur,C,13992.6,44.237,30.46,26.05,32.21,54.68,8.04,2,1,20.486,0.316312,7,19
28,Hyderabad,Hitech City,A,10582.86,10.756,25.98,23.39,27.94,74.32,6.3,1,1,2.033,0.983879,6,15
89,KPHB,Begumpet,B,25222.3,58.769,34.39,28.91,36.71,39.16,2.42,0,0,5.592,0.429178,2,0
24,Hyderabad,LB Nagar,C,11478.78,36.765,35.0,31.45,37.06,66.56,7.86,1,1,14.413,0.312224,7,5
104,Dilsukhnagar,Airport,B,30211.45,52.116,26.62,22.34,28.22,49.93,6.08,1,0,5.175,0.579694,2,2
68,Uppal,Secunderabad,B,19736.01,37.687,29.73,24.34,32.17,55.85,4.52,2,0,6.874,0.523681,1,22
60,Secunderabad,Begumpet,C,21889.36,55.071,32.8,29.71,36.05,81.55,0.28,0,0,9.057,0.397478,1,21
30,Hyderabad,Hitech City,C,12342.7,36.822,26.98,23.48,28.56,76.6,3.66,0,0,10.74,0.335195,2,1
80,Madhapur,BHEL,B,24609.74,56.944,33.84,28.16,37.29,51.82,10.36,1,0,6.942,0.432173,1,15
20,Hyderabad,Uppal,B,9283.81,16.046,32.28,28.4,33.78,39.45,7.88,0,0,4.148,0.57859,1,2
117,Kondapur,Jubilee Hills,C,34257.79,74.937,34.25,31.49,37.62,55.14,1.04,2,1,11.812,0.457153,6,14
114,Kondapur,Financial District,C,33431.56,137.784,33.99,28.25,36.13,79.79,1.39,0,0,17.804,0.242638,5,19
17,Hyderabad,Kukatpally,B,8533.08,19.931,30.0,24.05,31.09,66.3,6.98,2,0,10.09,0.428133,5,10
53,Secunderabad,Banjara Hills,B,17563.26,25.657,29.19,25.8,31.95,40.55,0.66,0,1,3.506,0.684551,6,11
34,Gachibowli,Banjara Hills,A,11581.26,13.118,26.17,23.79,29.88,75.25,8.39,2,0,2.719,0.882829,2,21
81,Madhapur,BHEL,C,27012.7,70.785,24.57,21.22,26.77,93.68,11.5,0,0,9.434,0.381617,4,2
52,Secunderabad,Banjara Hills,A,15718.05,23.333,24.21,21.73,26.76,71.82,3.6,0,0,2.85,0.673649,2,18
92,KPHB,Airport,B,27231.12,45.78,25.45,21.46,28.77,45.83,7.47,0,1,4.035,0.594823,7,0
82,Madhapur,KPHB,A,23416.41,28.718,35.09,29.2,38.07,42.7,4.61,0,0,1.962,0.815405,4,21
39,Gachibowli,Airport,C,15401.34,42.627,22.17,16.53,25.87,49.14,7.88,1,1,12.455,0.361307,7,6
33,Gachibowli,Madhapur,C,13792.21,29.098,33.36,29.43,34.65,66.06,1.69,0,0,7.595,0.473998,3,11
34,Gachibowli,Banjara Hills,A,11609.21,13.874,24.1,18.59,26.44,77.09,0.49,3,1,3.346,0.836758,7,15
95,LB Nagar,Gachibowli,B,26143.85,37.847,30.42,24.48,33.24,59.9,5.14,1,0,4.343,0.690769,5,0
