source,destination,route_id,traffic_distance_m,traffic_duration_min,temp,tempmin,tempmax,humidity,windspeed,conditions,is_weekend,traffic_pressure,traffic_efficiency,day_of_week
Hyderabad,LB Nagar,1.0,0.575365,0.619896,0.059025,0.050847,0.090909,0.836765,0.333495,1.0,0,0.587742,1.613172,1
Hyderabad,LB Nagar,1.0,0.564139,0.553201,0.115362,0.118644,0.151515,0.78955,0.399038,1.0,0,0.496662,1.807658,5
Hyderabad,LB Nagar,1.0,0.5685,0.396964,0.249713,0.40678,0.151515,0.901447,0.199136,1.0,1,0.365459,2.519115,6
Hyderabad,LB Nagar,1.0,0.535856,0.369233,0.440847,0.542373,0.515152,0.832559,0.086826,1.0,1,0.308392,2.708308,7
Hyderabad,LB Nagar,1.0,0.509264,0.406363,0.405803,0.372881,0.666667,0.585644,0.149608,0.0,1,0.352822,2.460847,6
Hyderabad,LB Nagar,1.0,0.55497,0.3767,0.451452,0.271186,0.424242,0.716759,0.285504,1.0,1,0.319242,2.654624,7
Hyderabad,LB Nagar,1.0,0.586798,0.588164,0.514351,0.389831,0.666667,0.895956,0.225557,1.0,0,0.536956,1.700204,5
Hyderabad,LB Nagar,1.0,0.554629,0.428284,0.75723,0.711864,0.69697,0.69905,0.158904,1.0,1,0.365773,2.334894,6
Hyderabad,LB Nagar,1.0,0.547133,0.396208,0.537049,0.881356,0.060606,0.949077,0.32587,0.5,1,0.333098,2.523918,7
Hyderabad,LB Nagar,1.0,0.579295,0.608967,0.554255,0.644068,0.333333,0.840421,0.448926,0.5,0,0.628008,1.642122,3
Hyderabad,LB Nagar,1.0,0.542438,0.358542,0.684008,0.711864,0.787879,0.593812,0.617561,1.0,1,0.322854,2.789062,7
Hyderabad,LB Nagar,1.0,0.550238,0.642358,0.389451,0.610169,0.30303,0.202093,0.903948,0.5,0,0.689933,1.556761,2
Hyderabad,LB Nagar,1.0,0.504557,0.625258,0.332484,0.440678,0.515152,0.25924,0.660654,0.5,0,0.619651,1.599337,1
Hyderabad,LB Nagar,2.0,0.582461,0.6017,0.250167,0.101695,0.060606,0.776381,0.063802,0.0,0,0.518774,1.661956,3
Hyderabad,LB Nagar,2.0,0.553272,0.452212,0.100192,0.050847,0.0,0.836541,0.044297,0.0,1,0.366646,2.211348,6
Hyderabad,LB Nagar,2.0,0.572481,0.405887,0.064517,0.050847,0.090909,0.837989,0.363056,1.0,1,0.365257,2.463734,6
Hyderabad,LB Nagar,2.0,0.630912,0.434635,0.117532,0.118644,0.151515,0.85123,0.397699,1.0,1,0.388548,2.300777,6
Hyderabad,LB Nagar,2.0,0.560904,0.347315,0.263999,0.40678,0.151515,0.95009,0.144328,1.0,1,0.310837,2.879221,7
Hyderabad,LB Nagar,2.0,0.548906,0.697974,0.49056,0.542373,0.515152,0.903078,0.019103,1.0,0,0.578346,1.432716,2
Hyderabad,LB Nagar,2.0,0.555991,0.455713,0.523944,0.372881,0.666667,0.682525,0.102214,0.0,1,0.412385,2.194361,6
Hyderabad,LB Nagar,2.0,0.549268,0.603223,0.271376,0.271186,0.424242,0.775185,0.162922,1.0,0,0.505537,1.657759,3
Hyderabad,LB Nagar,2.0,0.553732,0.377595,0.491917,0.389831,0.666667,0.82533,0.252964,1.0,1,0.334204,2.648337,7
Hyderabad,LB Nagar,2.0,0.543883,0.549807,0.60665,0.711864,0.69697,0.818552,0.200976,1.0,0,0.515251,1.818817,5
Hyderabad,LB Nagar,2.0,0.569523,0.534042,0.572358,0.881356,0.060606,0.900812,0.218309,0.5,0,0.488746,1.872509,4
Hyderabad,LB Nagar,2.0,0.585185,0.472022,0.557153,0.644068,0.333333,0.952229,0.464351,0.5,1,0.445551,2.118539,6
Hyderabad,LB Nagar,2.0,0.54548,0.593826,0.628823,0.711864,0.787879,0.565635,0.657191,1.0,0,0.601622,1.683993,1
Hyderabad,LB Nagar,2.0,0.575507,0.453312,0.513342,0.610169,0.30303,0.192623,0.914504,0.5,1,0.480688,2.20598,6
Hyderabad,LB Nagar,2.0,0.557893,0.641933,0.426567,0.440678,0.515152,0.205495,0.685529,0.5,0,0.625469,1.557792,4
Hyderabad,LB Nagar,3.0,0.527468,0.599973,0.225628,0.101695,0.060606,0.789468,0.173386,0.0,0,0.515964,1.66674,5
Hyderabad,LB Nagar,3.0,0.583302,0.412099,0.04524,0.050847,0.0,0.89308,0.049627,0.0,1,0.334695,2.426594,7
Hyderabad,LB Nagar,3.0,0.577902,0.610183,0.06857,0.050847,0.090909,0.898903,0.30781,1.0,0,0.598643,1.638851,2
Hyderabad,LB Nagar,3.0,0.566322,0.658669,0.163739,0.118644,0.151515,0.777904,0.329123,1.0,0,0.642976,1.51821,2
Hyderabad,LB Nagar,3.0,0.550927,0.653176,0.341599,0.40678,0.151515,1.0,0.210352,1.0,0,0.545695,1.53098,2
Hyderabad,LB Nagar,3.0,0.577618,0.783662,0.421486,0.542373,0.515152,0.869402,0.0881,1.0,0,0.651099,1.276058,1
Hyderabad,LB Nagar,3.0,0.562251,0.597524,0.501553,0.372881,0.666667,0.686061,0.140226,0.0,0,0.511756,1.673571,3
Hyderabad,LB Nagar,3.0,0.521495,0.466437,0.359422,0.271186,0.424242,0.703816,0.261042,1.0,0,0.437703,2.143905,5
Hyderabad,LB Nagar,3.0,0.559988,0.443363,0.55001,0.389831,0.666667,0.832995,0.182815,1.0,1,0.386568,2.255484,6
Hyderabad,LB Nagar,3.0,0.6011,0.653967,0.780675,0.711864,0.69697,0.782853,0.171717,1.0,0,0.582653,1.529126,3
Hyderabad,LB Nagar,3.0,0.53814,0.652051,0.567593,0.881356,0.060606,0.980388,0.311176,0.5,0,0.575431,1.533619,3
Hyderabad,LB Nagar,3.0,0.532624,0.659807,0.510541,0.644068,0.333333,0.820588,0.434969,0.5,0,0.63906,1.515593,1
Hyderabad,LB Nagar,3.0,0.56842,0.658555,0.692505,0.711864,0.787879,0.486594,0.717143,1.0,0,0.668926,1.518475,2
Hyderabad,LB Nagar,3.0,0.559945,0.597214,0.473877,0.610169,0.30303,0.254524,0.947733,0.5,0,0.663431,1.674438,2
Hyderabad,LB Nagar,3.0,0.594495,0.367896,0.428119,0.440678,0.515152,0.282686,0.662103,0.5,1,0.359599,2.718151,6
Hyderabad,Miyapur,1.0,0.919651,1.0185,0.347188,0.118644,0.333333,0.785447,0.173965,0.0,0,0.900631,0.981836,4
Hyderabad,Miyapur,1.0,0.90995,0.980987,0.099795,0.0,0.272727,0.580657,0.116896,0.0,0,0.863443,1.019381,5
Hyderabad,Miyapur,1.0,0.948899,0.995825,0.210506,0.050847,0.242424,0.602591,0.341497,1.0,0,0.899026,1.004192,2
Hyderabad,Miyapur,1.0,0.936996,0.647022,0.259229,0.084746,0.363636,0.680556,0.283311,1.0,1,0.587085,1.545541,7
Hyderabad,Miyapur,1.0,0.90349,0.985406,0.360225,0.338983,0.515152,0.746613,0.062944,1.0,0,0.903826,1.014809,4
Hyderabad,Miyapur,1.0,0.923636,0.932614,0.652749,0.542373,0.757576,0.762824,0.166166,1.0,0,0.839572,1.072254,5
Hyderabad,Miyapur,1.0,0.920427,1.008361,0.483509,0.372881,0.787879,0.524659,0.247942,0.0,0,0.941919,0.991707,2
Hyderabad,Miyapur,1.0,0.899382,1.143782,0.466251,0.254237,0.818182,0.603019,0.1703,1.0,0,0.971319,0.874291,4
Hyderabad,Miyapur,1.0,0.952575,1.011812,0.639149,0.423729,1.0,0.488849,0.052567,1.0,0,0.902489,0.988324,4
Hyderabad,Miyapur,1.0,0.952611,0.830058,0.75158,0.644068,0.818182,0.68859,0.230556,1.0,0,0.74978,1.204734,5
Hyderabad,Miyapur,1.0,0.894367,0.862602,0.805113,0.915254,0.424242,0.695739,0.261476,0.5,0,0.815292,1.159281,5
Hyderabad,Miyapur,1.0,0.927227,0.726242,0.638005,0.661017,0.454545,0.681751,0.518348,0.5,1,0.631407,1.376951,6
Hyderabad,Miyapur,1.0,0.850496,1.032937,0.677553,0.627119,0.757576,0.618258,0.631068,1.0,0,0.9646,0.968113,1
Hyderabad,Miyapur,1.0,0.921738,1.10928,0.338872,0.372881,0.454545,0.342006,0.955983,0.5,0,1.131701,0.901485,1
Hyderabad,Miyapur,1.0,0.90823,1.115865,0.197879,0.220339,0.242424,0.362973,0.697947,0.5,0,1.049943,0.896165,2
Hyderabad,Miyapur,2.0,0.940679,0.995311,0.345274,0.118644,0.333333,0.629066,0.113391,0.0,0,0.812905,1.00471,3
Hyderabad,Miyapur,2.0,0.93656,1.213969,0.14302,0.0,0.272727,0.698526,0.076111,0.0,0,1.067293,0.823744,1
Hyderabad,Miyapur,2.0,1.0,1.107327,0.119418,0.050847,0.242424,0.588711,0.350911,1.0,0,0.99252,0.903074,1
Hyderabad,Miyapur,2.0,0.969869,1.052265,0.174751,0.084746,0.363636,0.735418,0.248469,1.0,0,0.994279,0.95033,1
Hyderabad,Miyapur,2.0,0.916915,1.147087,0.383996,0.338983,0.515152,0.73377,0.0,1.0,0,0.976611,0.871773,1
Hyderabad,Miyapur,2.0,0.901351,1.153576,0.499128,0.542373,0.757576,0.709902,0.131064,1.0,0,0.972595,0.866869,2
Hyderabad,Miyapur,2.0,0.950157,1.106438,0.391471,0.372881,0.787879,0.424986,0.280264,0.0,0,0.98111,0.903801,2
Hyderabad,Miyapur,2.0,0.932805,1.131493,0.584151,0.254237,0.818182,0.513473,0.156438,1.0,0,1.014255,0.883787,1
Hyderabad,Miyapur,2.0,0.972335,1.13884,0.62633,0.423729,1.0,0.52901,0.186996,1.0,0,0.969576,0.878086,4
Hyderabad,Miyapur,2.0,0.976732,0.657986,0.788737,0.644068,0.818182,0.465039,0.209746,1.0,1,0.569061,1.519788,6
Hyderabad,Miyapur,2.0,0.956602,1.04421,0.738702,0.915254,0.424242,0.684743,0.280624,0.5,0,0.899643,0.957661,3
Hyderabad,Miyapur,2.0,0.963579,0.704548,0.541956,0.661017,0.454545,0.784926,0.519763,0.5,1,0.586298,1.419348,7
Hyderabad,Miyapur,2.0,0.951477,1.177152,0.550292,0.627119,0.757576,0.535591,0.739965,1.0,0,1.15209,0.849508,1
Hyderabad,Miyapur,2.0,0.977539,0.974357,0.202354,0.372881,0.454545,0.329238,0.919396,0.5,0,0.98644,1.026317,2
Hyderabad,Miyapur,2.0,0.930001,0.68894,0.248792,0.220339,0.242424,0.366401,0.702555,0.5,1,0.638263,1.451503,6
Hyderabad,Miyapur,3.0,0.895889,0.668789,0.229969,0.118644,0.333333,0.62982,0.155926,0.0,1,0.579449,1.495238,6
Hyderabad,Miyapur,3.0,0.915729,0.896003,0.120832,0.0,0.272727,0.64487,0.066695,0.0,0,0.813282,1.116066,2
Hyderabad,Miyapur,3.0,0.970231,0.96014,0.162305,0.050847,0.242424,0.634211,0.392785,1.0,0,0.900277,1.041513,3
Hyderabad,Miyapur,3.0,0.936113,0.593173,0.206436,0.084746,0.363636,0.645878,0.2205,1.0,1,0.506771,1.685847,7
Hyderabad,Miyapur,3.0,0.931178,1.010764,0.450031,0.338983,0.515152,0.716906,0.019312,1.0,0,0.881479,0.989349,4
Hyderabad,Miyapur,3.0,0.899661,0.609908,0.578441,0.542373,0.757576,0.701937,0.041846,1.0,1,0.486979,1.639589,7
Hyderabad,Miyapur,3.0,0.908678,1.004699,0.421917,0.372881,0.787879,0.560842,0.211342,0.0,0,0.889401,0.995322,2
Hyderabad,Miyapur,3.0,0.908589,0.980425,0.516294,0.254237,0.818182,0.644246,0.171025,1.0,0,0.820261,1.019965,5
Hyderabad,Miyapur,3.0,0.856551,0.932799,0.625823,0.423729,1.0,0.554211,0.09595,1.0,0,0.846984,1.072041,2
Hyderabad,Miyapur,3.0,0.882256,1.06023,0.738692,0.644068,0.818182,0.640616,0.183561,1.0,0,0.91393,0.943191,1
Hyderabad,Miyapur,3.0,0.918562,0.659651,0.763182,0.915254,0.424242,0.659324,0.287428,0.5,1,0.524629,1.515952,7
Hyderabad,Miyapur,3.0,0.96246,0.913896,0.634111,0.661017,0.454545,0.685192,0.588364,0.5,0,0.865082,1.094215,4
Hyderabad,Miyapur,3.0,0.917453,0.986721,0.644648,0.627119,0.757576,0.48823,0.695232,1.0,0,0.933165,1.013457,3
Hyderabad,Miyapur,3.0,0.980504,0.971866,0.316804,0.372881,0.454545,0.370745,0.957248,0.5,0,1.001564,1.028947,3
Hyderabad,Miyapur,3.0,0.954628,0.908466,0.234456,0.220339,0.242424,0.444665,0.741232,0.5,0,0.884316,1.100756,3
Hyderabad,Uppal,1.0,0.072772,0.185682,0.352961,0.237288,0.30303,0.561895,0.124003,0.0,0,0.150573,5.385528,1
Hyderabad,Uppal,1.0,0.030672,0.060954,0.236085,0.237288,0.212121,0.544693,0.099989,0.0,1,0.035184,16.405481,7
Hyderabad,Uppal,1.0,0.027141,0.069385,0.339287,0.254237,0.242424,0.523255,0.315973,1.0,1,0.067654,14.412146,6
Hyderabad,Uppal,1.0,0.047341,0.134075,0.34241,0.305085,0.333333,0.527797,0.262978,1.0,0,0.130196,7.458455,2
Hyderabad,Uppal,1.0,0.046201,0.109212,0.421396,0.508475,0.424242,0.615659,0.076908,1.0,0,0.082017,9.156412,1
Hyderabad,Uppal,1.0,0.029653,0.111072,0.71506,0.661017,0.757576,0.561491,0.048721,1.0,1,0.078859,9.003078,6
Hyderabad,Uppal,1.0,0.044047,0.122944,0.705981,0.559322,0.818182,0.338307,0.085477,0.0,1,0.087894,8.133723,6
Hyderabad,Uppal,1.0,0.039978,0.10565,0.588965,0.474576,0.69697,0.479808,0.218048,1.0,0,0.099613,9.465123,4
Hyderabad,Uppal,1.0,0.048184,0.094955,0.675125,0.59322,0.909091,0.514017,0.082176,1.0,0,0.059175,10.531234,2
Hyderabad,Uppal,1.0,0.019376,0.074008,0.917836,0.79661,0.818182,0.474396,0.166141,1.0,0,0.057889,13.511876,5
Hyderabad,Uppal,1.0,0.045251,0.119305,0.786515,1.0,0.393939,0.661508,0.179425,0.5,0,0.097508,8.381811,1
Hyderabad,Uppal,1.0,0.021741,0.14657,0.751499,0.779661,0.393939,0.620995,0.467145,0.5,0,0.160417,6.822649,3
Hyderabad,Uppal,1.0,0.059296,0.102196,0.774069,0.813559,0.757576,0.321329,0.671039,1.0,0,0.167981,9.785004,1
Hyderabad,Uppal,1.0,0.036898,0.077877,0.579786,0.661017,0.363636,0.069669,0.928938,0.5,1,0.121668,12.840639,7
Hyderabad,Uppal,1.0,0.03947,0.100855,0.493953,0.559322,0.484848,0.1407,0.698446,1.0,0,0.167883,9.915079,2
Hyderabad,Uppal,2.0,0.030005,0.170761,0.428752,0.237288,0.30303,0.503592,0.15765,0.0,0,0.15586,5.856111,1
Hyderabad,Uppal,2.0,0.044005,0.027196,0.325756,0.237288,0.212121,0.456447,0.039272,0.0,0,0.0,36.768894,5
Hyderabad,Uppal,2.0,0.034046,0.138095,0.273495,0.254237,0.242424,0.467782,0.37237,1.0,0,0.148102,7.241332,3
Hyderabad,Uppal,2.0,0.042211,0.115593,0.381122,0.305085,0.333333,0.547444,0.296217,1.0,0,0.115722,8.650994,5
Hyderabad,Uppal,2.0,0.043679,0.160889,0.551187,0.508475,0.424242,0.615036,0.029185,1.0,0,0.115595,6.215419,4
Hyderabad,Uppal,2.0,0.063063,0.107994,0.710556,0.661017,0.757576,0.520743,0.059004,1.0,0,0.068555,9.259648,5
Hyderabad,Uppal,2.0,0.055433,0.074386,0.62305,0.559322,0.818182,0.268427,0.034682,0.0,1,0.039853,13.443291,7
Hyderabad,Uppal,2.0,0.045649,0.138002,0.70946,0.474576,0.69697,0.290414,0.117285,1.0,0,0.112558,7.246202,4
Hyderabad,Uppal,2.0,0.066583,0.072935,0.689802,0.59322,0.909091,0.413284,0.092325,1.0,0,0.045484,13.71073,2
Hyderabad,Uppal,2.0,0.059388,0.102945,0.961165,0.79661,0.818182,0.414136,0.304279,1.0,1,0.08801,9.713865,7
Hyderabad,Uppal,2.0,0.027831,0.118795,0.786057,1.0,0.393939,0.619815,0.240992,0.5,0,0.109296,8.417786,2
Hyderabad,Uppal,2.0,0.047778,0.176735,0.727944,0.779661,0.393939,0.646319,0.381931,0.5,0,0.183857,5.658162,1
Hyderabad,Uppal,2.0,0.044166,0.14392,0.777913,0.813559,0.757576,0.410805,0.660279,1.0,0,0.187763,6.948271,5
Hyderabad,Uppal,2.0,0.030249,0.183845,0.522349,0.661017,0.363636,0.163325,0.967644,0.5,0,0.284294,5.439347,1
Hyderabad,Uppal,2.0,0.037954,0.145957,0.53352,0.559322,0.484848,0.232767,0.679104,1.0,0,0.213324,6.851302,1
Hyderabad,Uppal,3.0,0.059815,0.080026,0.437386,0.237288,0.30303,0.654007,0.129113,0.0,0,0.058723,12.495783,5
Hyderabad,Uppal,3.0,0.026688,0.083314,0.128784,0.237288,0.212121,0.548611,0.140233,0.0,1,0.060501,12.002642,6
Hyderabad,Uppal,3.0,0.0484,0.068459,0.322636,0.254237,0.242424,0.521106,0.29064,1.0,0,0.086629,14.607146,1
Hyderabad,Uppal,3.0,0.0,0.100188,0.401602,0.305085,0.333333,0.608755,0.256814,1.0,0,0.096625,9.98113,3
Hyderabad,Uppal,3.0,0.030491,0.153056,0.473709,0.508475,0.424242,0.542132,0.079643,1.0,1,0.108494,6.533513,6
Hyderabad,Uppal,3.0,0.048356,0.120931,0.727915,0.661017,0.757576,0.512562,0.024419,1.0,0,0.074352,8.269082,4
Hyderabad,Uppal,3.0,0.036402,0.071843,0.61487,0.559322,0.818182,0.345626,0.151945,0.0,1,0.049522,13.919103,6
Hyderabad,Uppal,3.0,0.03861,0.185731,0.562955,0.474576,0.69697,0.572922,0.116671,1.0,0,0.160473,5.384103,1
Hyderabad,Uppal,3.0,0.035629,0.086386,0.719423,0.59322,0.909091,0.488066,0.130212,1.0,0,0.064206,11.57588,4
Hyderabad,Uppal,3.0,0.038901,0.115322,0.875263,0.79661,0.818182,0.498762,0.159747,1.0,1,0.084251,8.671266,6
Hyderabad,Uppal,3.0,0.014896,0.123845,0.753479,1.0,0.393939,0.657154,0.179011,0.5,1,0.082444,8.074531,7
Hyderabad,Uppal,3.0,0.063601,0.143762,0.641172,0.779661,0.393939,0.683263,0.40919,0.5,0,0.157335,6.955886,4
Hyderabad,Uppal,3.0,0.046287,0.100454,0.783679,0.813559,0.757576,0.355463,0.67309,1.0,0,0.152963,9.954681,3
Hyderabad,Uppal,3.0,0.014787,0.13399,0.536976,0.661017,0.363636,0.081429,0.911564,0.5,0,0.238426,7.4632,4
Hyderabad,Uppal,3.0,0.002661,0.089503,0.468469,0.559322,0.484848,0.0,0.677953,1.0,1,0.1203,11.172718,6
Hyderabad,Kompally,1.0,0.703783,0.851815,0.31594,0.237288,0.30303,0.623691,0.121635,0.0,1,0.727719,1.173963,6
Hyderabad,Kompally,1.0,0.643047,0.718999,0.249388,0.237288,0.212121,0.385195,0.100971,0.0,1,0.679138,1.390821,7
Hyderabad,Kompally,1.0,0.68463,1.115492,0.276875,0.254237,0.242424,0.409566,0.308618,1.0,0,0.978255,0.896465,3
Hyderabad,Kompally,1.0,0.721613,1.060429,0.345813,0.305085,0.333333,0.576236,0.302041,1.0,0,0.901173,0.943014,5
Hyderabad,Kompally,1.0,0.717688,0.885027,0.525583,0.508475,0.424242,0.557585,0.10916,1.0,1,0.761268,1.129908,6
Hyderabad,Kompally,1.0,0.662116,0.759023,0.770633,0.661017,0.757576,0.603454,0.086597,1.0,1,0.593886,1.317481,7
Hyderabad,Kompally,1.0,0.707735,1.207051,0.623619,0.559322,0.818182,0.408972,0.138084,0.0,0,1.041527,0.828464,5
Hyderabad,Kompally,1.0,0.679595,1.038059,0.595353,0.474576,0.69697,0.398569,0.133962,1.0,0,0.913739,0.963335,5
Hyderabad,Kompally,1.0,0.696605,0.701386,0.731427,0.59322,0.909091,0.478913,0.098502,1.0,1,0.641688,1.425746,7
Hyderabad,Kompally,1.0,0.65015,0.763555,1.0,0.79661,0.818182,0.471454,0.158006,1.0,1,0.672042,1.309661,6
Hyderabad,Kompally,1.0,0.738411,0.845011,0.838878,1.0,0.393939,0.656878,0.196029,0.5,1,0.689067,1.183414,6
Hyderabad,Kompally,1.0,0.659152,1.235015,0.686672,0.779661,0.393939,0.656498,0.450247,0.5,0,1.094821,0.809706,2
Hyderabad,Kompally,1.0,0.660661,0.735348,0.800689,0.813559,0.757576,0.394293,0.637891,1.0,1,0.703862,1.359899,7
Hyderabad,Kompally,1.0,0.681242,1.150021,0.502587,0.661017,0.363636,0.109511,0.901068,0.5,0,1.168635,0.869549,4
Hyderabad,Kompally,1.0,0.683587,1.086047,0.517743,0.559322,0.484848,0.134745,0.737703,1.0,0,1.035786,0.920769,5
Hyderabad,Kompally,2.0,0.690506,1.357183,0.332735,0.237288,0.30303,0.59098,0.117754,0.0,0,1.105585,0.73682,1
Hyderabad,Kompally,2.0,0.707012,1.301546,0.24987,0.237288,0.212121,0.536491,0.026374,0.0,0,1.199939,0.768317,1
Hyderabad,Kompally,2.0,0.669915,1.04762,0.240622,0.254237,0.242424,0.500766,0.355718,1.0,0,1.009348,0.954544,5
